row,2023,2022,2021
Musical instruments; parts and accessories thereof (MUSI) (thousand euro),2600627,2773269,2646493
"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",6298152,6318941,6784043
Total (TOTAL) (thousand euro),51372380,47431124,45664880
