row,2023,2022,2021
Musical instruments; parts and accessories thereof (MUSI) (thousand euro),2120237,2319574,2094498
"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",2073145,2285215,2152178
Total (TOTAL) (thousand euro),50676098,46613045,39613100
