row,2023,2022,2021
Total cultural employment (thousand persons),7785.3,7743.3,7407.9
"Total music employment (minimum, thousand persons)",68.9,20.961,61.08
"Total music employment (maximum, thousand persons)",1663.381,2350.651,2126.146
