row,2023,2022,2021
"Total value added, cultural sector (CLT, million euro)",201647.98,198540.19,180023.67
"Total value added, music sector minimum (million euro)",5404.37,921.82,805.62
"Total value added, music sector maximum (million euro)",100741.16,84702.26,57367.57
