row,2023,2022,2021
"CP09111 Equipment for the reception, recording and reproduction of sound",97.99,94.9,93.88
CP09113 Portable sound and vision devices,104.85,103.56,97.88
"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",98.14,94.56,96.91
CP09141 Pre-recorded recording media,104.22,101.36,97.23
"CP0915 Repair of audio-visual, photographic and information processing equipment",121.37,116.22,110.71
CP09221 Musical instruments,113.41,108.26,102.99
"CP09421 Cinemas, theatres, concerts",116.48,110.59,106.56
"CP09423 Television and radio licence fees, subscriptions",110.42,105.92,105.01
