country,row,2023,2022,2021
PL,Musical instruments; parts and accessories thereof (MUSI) (% of total),4.09,4.19,3.72
PL,Total (TOTAL) (% of total),100,100,100
PT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",6.95,6.9,9.72
PT,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.94,3.33,4.35
PT,Total (TOTAL) (% of total),100,100,100
RO,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",9.86,9.13,10.8
RO,Musical instruments; parts and accessories thereof (MUSI) (% of total),9.88,10.38,9.32
RO,Total (TOTAL) (% of total),100,100,100
SE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",10.5,14.76,11.96
SE,Musical instruments; parts and accessories thereof (MUSI) (% of total),13.67,12.84,12.73
SE,Total (TOTAL) (% of total),100,100,100
SI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",13.1,9.7,12.02
SI,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.52,7.01,7.6
SI,Total (TOTAL) (% of total),100,100,100
SK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",15.42,8.09,4.14
SK,Musical instruments; parts and accessories thereof (MUSI) (% of total),10.8,14.64,18.22
SK,Total (TOTAL) (% of total),100,100,100
