country,row,2023,2022,2021
FR,CP09221 Musical instruments,2.4,4.8,-0.2
FR,"CP09421 Cinemas, theatres, concerts",3.7,-0.8,-1.2
FR,"CP09423 Television and radio licence fees, subscriptions",5,-0.9,4.9
HR,"CP09111 Equipment for the reception, recording and reproduction of sound",1.4,8.6,-2.8
HR,CP09113 Portable sound and vision devices,-1.7,15.5,0
HR,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",1.2,3.6,-0.6
HR,CP09141 Pre-recorded recording media,-2.1,-0.2,-5.5
HR,"CP0915 Repair of audio-visual, photographic and information processing equipment",15.3,5,0.5
HR,CP09221 Musical instruments,1.9,6.1,3.3
HR,"CP09421 Cinemas, theatres, concerts",9.2,8,4.5
HR,"CP09423 Television and radio licence fees, subscriptions",-3.5,1,0
HU,"CP09111 Equipment for the reception, recording and reproduction of sound",4.1,7.5,-1.5
HU,CP09113 Portable sound and vision devices,,,
HU,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,6.6,-1.7
HU,CP09141 Pre-recorded recording media,,,
HU,"CP0915 Repair of audio-visual, photographic and information processing equipment",15.2,14.5,5.2
HU,CP09221 Musical instruments,15.1,15.5,6.1
HU,"CP09421 Cinemas, theatres, concerts",14.3,7.9,2.8
HU,"CP09423 Television and radio licence fees, subscriptions",11.4,1.5,0.7
IE,"CP09111 Equipment for the reception, recording and reproduction of sound",1.4,4.6,-2.3
IE,CP09113 Portable sound and vision devices,-0.9,5.8,-5.1
IE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",1.6,0.7,5.4
IE,CP09141 Pre-recorded recording media,5.2,-1.7,11.2
IE,"CP0915 Repair of audio-visual, photographic and information processing equipment",1.4,0.5,-0.1
IE,CP09221 Musical instruments,2.9,4.1,1.5
IE,"CP09421 Cinemas, theatres, concerts",4.8,1.3,-1.5
IE,"CP09423 Television and radio licence fees, subscriptions",1.1,2.3,0
IT,"CP09111 Equipment for the reception, recording and reproduction of sound",-5.1,-6.5,-3.4
IT,CP09113 Portable sound and vision devices,,,
IT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",4.2,-7,12
IT,CP09141 Pre-recorded recording media,-8.6,20.5,-2.7
IT,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
IT,CP09221 Musical instruments,3.5,3.9,1.1
IT,"CP09421 Cinemas, theatres, concerts",1.5,1.9,0.6
IT,"CP09423 Television and radio licence fees, subscriptions",2.7,0.7,-0.9
LT,"CP09111 Equipment for the reception, recording and reproduction of sound",1.5,7.2,0.7
LT,CP09113 Portable sound and vision devices,,,-1.4
LT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",1.9,3,-1
LT,CP09141 Pre-recorded recording media,,,
LT,"CP0915 Repair of audio-visual, photographic and information processing equipment",9.2,11.8,3
LT,CP09221 Musical instruments,4.6,5.2,1.2
LT,"CP09421 Cinemas, theatres, concerts",9.2,15.5,4.6
LT,"CP09423 Television and radio licence fees, subscriptions",3.4,4.1,1.4
LU,"CP09111 Equipment for the reception, recording and reproduction of sound",-0.9,3.8,0.6
LU,CP09113 Portable sound and vision devices,,,
LU,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
LU,CP09141 Pre-recorded recording media,-0.5,9.6,-7.5
LU,"CP0915 Repair of audio-visual, photographic and information processing equipment",-0.5,0.4,0.1
LU,CP09221 Musical instruments,7.7,3.7,0.3
LU,"CP09421 Cinemas, theatres, concerts",2.7,3.6,2.7
LU,"CP09423 Television and radio licence fees, subscriptions",8.5,8.7,2.5
LV,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
LV,CP09113 Portable sound and vision devices,,,
LV,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
LV,CP09141 Pre-recorded recording media,,,
LV,"CP0915 Repair of audio-visual, photographic and information processing equipment",8.9,7.6,3.2
LV,CP09221 Musical instruments,,,
LV,"CP09421 Cinemas, theatres, concerts",7.7,5.3,8.4
LV,"CP09423 Television and radio licence fees, subscriptions",9,4,2.9
MT,"CP09111 Equipment for the reception, recording and reproduction of sound",4.8,11.9,13.1
MT,CP09113 Portable sound and vision devices,,,
MT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
MT,CP09141 Pre-recorded recording media,,,
MT,"CP0915 Repair of audio-visual, photographic and information processing equipment",-2.4,4.2,4
MT,CP09221 Musical instruments,,,
MT,"CP09421 Cinemas, theatres, concerts",5.7,4.5,3
MT,"CP09423 Television and radio licence fees, subscriptions",,,
NL,"CP09111 Equipment for the reception, recording and reproduction of sound",7.8,-1.6,-0.2
NL,CP09113 Portable sound and vision devices,-1.9,11.4,6
NL,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",7.9,-8.9,-9.5
NL,CP09141 Pre-recorded recording media,17.6,21.1,-1.6
NL,"CP0915 Repair of audio-visual, photographic and information processing equipment",10.9,5.8,1.4
NL,CP09221 Musical instruments,1.4,6.6,-0.7
NL,"CP09421 Cinemas, theatres, concerts",5.2,3.3,3
NL,"CP09423 Television and radio licence fees, subscriptions",4.2,2.8,2.6
PL,"CP09111 Equipment for the reception, recording and reproduction of sound",4.6,4.2,0.9
PL,CP09113 Portable sound and vision devices,0,8.1,-2.2
PL,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",1.3,-0.7,-3.1
PL,CP09141 Pre-recorded recording media,9.1,7.2,6.3
PL,"CP0915 Repair of audio-visual, photographic and information processing equipment",10.6,13.7,4.8
PL,CP09221 Musical instruments,6.8,7.9,2.9
PL,"CP09421 Cinemas, theatres, concerts",6.7,7.1,2.8
PL,"CP09423 Television and radio licence fees, subscriptions",7.3,1.8,9.3
PT,"CP09111 Equipment for the reception, recording and reproduction of sound",4.9,-0.1,-0.6
PT,CP09113 Portable sound and vision devices,-1.8,-0.1,-4
PT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
PT,CP09141 Pre-recorded recording media,1.6,-4,2.3
PT,"CP0915 Repair of audio-visual, photographic and information processing equipment",3.4,1.5,2.3
PT,CP09221 Musical instruments,3.7,5.9,0.9
PT,"CP09421 Cinemas, theatres, concerts",10,0.6,3.1
PT,"CP09423 Television and radio licence fees, subscriptions",1.4,-4.7,1
RO,"CP09111 Equipment for the reception, recording and reproduction of sound",3.9,2.4,2
RO,CP09113 Portable sound and vision devices,3.2,2.4,0.8
RO,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",5.4,3,1.9
RO,CP09141 Pre-recorded recording media,2.6,2.6,1
RO,"CP0915 Repair of audio-visual, photographic and information processing equipment",11.4,5.2,2.1
RO,CP09221 Musical instruments,7.9,3.2,1.9
RO,"CP09421 Cinemas, theatres, concerts",8.4,5.2,2.7
RO,"CP09423 Television and radio licence fees, subscriptions",2.6,0.7,0.8
SE,"CP09111 Equipment for the reception, recording and reproduction of sound",14.5,1.3,-4.1
SE,CP09113 Portable sound and vision devices,,,
SE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",6.6,-6.2,-6.7
SE,CP09141 Pre-recorded recording media,11.8,-9.1,5.9
SE,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
SE,CP09221 Musical instruments,8.4,6.3,3.8
SE,"CP09421 Cinemas, theatres, concerts",3.2,4,4.2
