row,2023,2022,2021
"Persons employed per enterprise, cultural sector (CLT)",2,2,2
"Persons employed per enterprise, music sector (minimum)",10.132,3.129,1.623
"Persons employed per enterprise, music sector (maximum)",1.483,2.209,2.024
