row,2023,2022,2021
"Value added per employee, cultural sector (CLT, thousand euro)",50.412,48.037,45.627
"Value added per employee, music sector minimum (thousand euro)",78.438,43.978,13.19
"Value added per employee, music sector maximum (thousand euro)",60.564,36.034,26.982
