country,row,2023,2022,2021
PL,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",640506,772900,970714
PL,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),77912,84283,100474
PL,Total (TOTAL) (thousand euro),4605452,5279728,6079911
PT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",47513,50089,57789
PT,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),44531,48392,46658
PT,Total (TOTAL) (thousand euro),616652,575817,467724
RO,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",69894,79072,73749
RO,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),32339,44121,35629
RO,Total (TOTAL) (thousand euro),621077,352790,332824
SE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",134017,152171,155210
SE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),65187,89049,83525
SE,Total (TOTAL) (thousand euro),1169156,1024426,938941
SI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",25054,22143,27254
SI,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),16972,17902,15484
SI,Total (TOTAL) (thousand euro),215522,231856,195016
SK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",51360,62041,68886
SK,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),35198,31267,52251
SK,Total (TOTAL) (thousand euro),736208,674010,668628
