row,2023,2022,2021
"Total net turnover, cultural sector (CLT, million euro)",523901.55,503002.76,444567.25
"Total net turnover, music sector minimum (million euro)",12527.82,11827.72,1614.91
"Total net turnover, music sector maximum (million euro)",336483.96,376815.03,222255.22
