country,row,2023,2022,2021
PL,Musical instruments; parts and accessories thereof (MUSI) (% of total),1.69,1.6,1.65
PL,Total (TOTAL) (% of total),100,100,100
PT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",7.7,8.7,12.36
PT,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.22,8.4,9.98
PT,Total (TOTAL) (% of total),100,100,100
RO,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",11.25,22.41,22.16
RO,Musical instruments; parts and accessories thereof (MUSI) (% of total),5.21,12.51,10.71
RO,Total (TOTAL) (% of total),100,100,100
SE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",11.46,14.85,16.53
SE,Musical instruments; parts and accessories thereof (MUSI) (% of total),5.58,8.69,8.9
SE,Total (TOTAL) (% of total),100,100,100
SI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",11.62,9.55,13.98
SI,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.87,7.72,7.94
SI,Total (TOTAL) (% of total),100,100,100
SK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",6.98,9.2,10.3
SK,Musical instruments; parts and accessories thereof (MUSI) (% of total),4.78,4.64,7.81
SK,Total (TOTAL) (% of total),100,100,100
