country,row,2023,2022,2021
FR,"CP09421 Cinemas, theatres, concerts",113.19,109.1,109.93
FR,"CP09423 Television and radio licence fees, subscriptions",120.79,115.04,116.06
HR,"CP09111 Equipment for the reception, recording and reproduction of sound",115.54,113.97,104.92
HR,CP09113 Portable sound and vision devices,113.53,115.51,99.98
HR,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",94.14,93.03,89.81
HR,CP09141 Pre-recorded recording media,88.88,90.78,90.99
HR,"CP0915 Repair of audio-visual, photographic and information processing equipment",108.92,94.46,89.93
HR,CP09221 Musical instruments,118.56,116.4,109.74
HR,"CP09421 Cinemas, theatres, concerts",134.66,123.31,114.19
HR,"CP09423 Television and radio licence fees, subscriptions",97.43,100.99,100
HU,"CP09111 Equipment for the reception, recording and reproduction of sound",112.18,107.73,100.25
HU,CP09113 Portable sound and vision devices,,,
HU,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,89.31,83.81
HU,CP09141 Pre-recorded recording media,,,
HU,"CP0915 Repair of audio-visual, photographic and information processing equipment",178.87,155.27,135.57
HU,CP09221 Musical instruments,165.73,144.02,124.71
HU,"CP09421 Cinemas, theatres, concerts",149.17,130.53,120.95
HU,"CP09423 Television and radio licence fees, subscriptions",121.19,108.82,107.18
IE,"CP09111 Equipment for the reception, recording and reproduction of sound",89.3,88.1,84.2
IE,CP09113 Portable sound and vision devices,78.3,79,74.6
IE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",96.8,95.3,94.6
IE,CP09141 Pre-recorded recording media,87.6,83.2,84.7
IE,"CP0915 Repair of audio-visual, photographic and information processing equipment",101.7,100.3,99.8
IE,CP09221 Musical instruments,104.8,101.8,97.8
IE,"CP09421 Cinemas, theatres, concerts",109.4,104.4,103.1
IE,"CP09423 Television and radio licence fees, subscriptions",105,103.9,101.6
IT,"CP09111 Equipment for the reception, recording and reproduction of sound",70.9,74.7,79.9
IT,CP09113 Portable sound and vision devices,,,
IT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",133.2,127.9,137.5
IT,CP09141 Pre-recorded recording media,119.5,130.8,108.6
IT,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
IT,CP09221 Musical instruments,115.7,111.7,107.6
IT,"CP09421 Cinemas, theatres, concerts",107.1,105.6,103.6
IT,"CP09423 Television and radio licence fees, subscriptions",100.8,98.1,97.5
LT,"CP09111 Equipment for the reception, recording and reproduction of sound",107.24,105.64,98.55
LT,CP09113 Portable sound and vision devices,,,102.08
LT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",102.72,100.77,97.79
LT,CP09141 Pre-recorded recording media,,,
LT,"CP0915 Repair of audio-visual, photographic and information processing equipment",175.96,161.16,144.13
LT,CP09221 Musical instruments,103.45,98.93,94.08
LT,"CP09421 Cinemas, theatres, concerts",190.25,174.19,150.85
LT,"CP09423 Television and radio licence fees, subscriptions",126.36,122.16,117.3
LU,"CP09111 Equipment for the reception, recording and reproduction of sound",98.52,99.44,95.81
LU,CP09113 Portable sound and vision devices,,,
LU,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
LU,CP09141 Pre-recorded recording media,101.32,101.87,92.94
LU,"CP0915 Repair of audio-visual, photographic and information processing equipment",105.09,105.63,105.23
LU,CP09221 Musical instruments,128.13,118.96,114.77
LU,"CP09421 Cinemas, theatres, concerts",119.84,116.72,112.64
LU,"CP09423 Television and radio licence fees, subscriptions",124.19,114.5,105.38
LV,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
LV,CP09113 Portable sound and vision devices,,,
LV,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
LV,CP09141 Pre-recorded recording media,,,
LV,"CP0915 Repair of audio-visual, photographic and information processing equipment",149.73,137.5,127.77
LV,CP09221 Musical instruments,,,
LV,"CP09421 Cinemas, theatres, concerts",153.94,142.9,135.72
LV,"CP09423 Television and radio licence fees, subscriptions",132.99,122.05,117.31
MT,"CP09111 Equipment for the reception, recording and reproduction of sound",136.15,129.96,116.18
MT,CP09113 Portable sound and vision devices,,,
MT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
MT,CP09141 Pre-recorded recording media,,,
MT,"CP0915 Repair of audio-visual, photographic and information processing equipment",107.07,109.72,105.31
MT,CP09221 Musical instruments,,,
MT,"CP09421 Cinemas, theatres, concerts",122.82,116.24,111.26
MT,"CP09423 Television and radio licence fees, subscriptions",,,
NL,"CP09111 Equipment for the reception, recording and reproduction of sound",99.02,91.86,93.32
NL,CP09113 Portable sound and vision devices,91.07,92.88,83.39
NL,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",87.53,81.14,89.09
NL,CP09141 Pre-recorded recording media,137.13,116.62,96.31
NL,"CP0915 Repair of audio-visual, photographic and information processing equipment",138.18,124.63,117.77
NL,CP09221 Musical instruments,99.18,97.83,91.79
NL,"CP09421 Cinemas, theatres, concerts",124.34,118.25,114.46
NL,"CP09423 Television and radio licence fees, subscriptions",115.73,111.03,108.01
PL,"CP09111 Equipment for the reception, recording and reproduction of sound",97.7,93.5,89.7
PL,CP09113 Portable sound and vision devices,81.3,81.3,75.2
PL,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",87.4,86.2,86.8
PL,CP09141 Pre-recorded recording media,113.6,104.1,97.1
PL,"CP0915 Repair of audio-visual, photographic and information processing equipment",152.5,137.9,121.3
PL,CP09221 Musical instruments,127.9,119.7,111
PL,"CP09421 Cinemas, theatres, concerts",130.5,122.3,114.2
PL,"CP09423 Television and radio licence fees, subscriptions",99.3,92.5,90.9
PT,"CP09111 Equipment for the reception, recording and reproduction of sound",90.23,86.03,86.15
PT,CP09113 Portable sound and vision devices,87.35,88.93,88.98
PT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
PT,CP09141 Pre-recorded recording media,98.17,96.66,100.7
PT,"CP0915 Repair of audio-visual, photographic and information processing equipment",111.92,108.25,106.65
PT,CP09221 Musical instruments,113.75,109.71,103.6
PT,"CP09421 Cinemas, theatres, concerts",124.36,113.09,112.41
PT,"CP09423 Television and radio licence fees, subscriptions",95.69,94.33,98.98
RO,"CP09111 Equipment for the reception, recording and reproduction of sound",113.61,109.37,106.82
RO,CP09113 Portable sound and vision devices,113.86,110.31,107.73
RO,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",116.94,110.99,107.78
RO,CP09141 Pre-recorded recording media,108.55,105.79,103.16
RO,"CP0915 Repair of audio-visual, photographic and information processing equipment",128.97,115.78,110.04
RO,CP09221 Musical instruments,119.88,111.1,107.64
RO,"CP09421 Cinemas, theatres, concerts",130.74,120.65,114.64
RO,"CP09423 Television and radio licence fees, subscriptions",86.91,84.72,84.12
SE,"CP09111 Equipment for the reception, recording and reproduction of sound",116.61,101.83,100.5
SE,CP09113 Portable sound and vision devices,,,
SE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",88.75,83.25,88.79
SE,CP09141 Pre-recorded recording media,90.18,80.66,88.74
SE,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
SE,CP09221 Musical instruments,137.26,126.59,119.04
SE,"CP09421 Cinemas, theatres, concerts",130.19,126.12,121.23
SE,"CP09423 Television and radio licence fees, subscriptions",106.59,100.55,101.01
SI,"CP09111 Equipment for the reception, recording and reproduction of sound",109.2,104.58,101.17
SI,CP09113 Portable sound and vision devices,89.62,90.21,91.53
SI,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",97.94,94.55,
SI,CP09141 Pre-recorded recording media,91.25,90.31,92.35
SI,"CP0915 Repair of audio-visual, photographic and information processing equipment",110.7,109.17,106.33
SI,CP09221 Musical instruments,117.14,110.71,105.07
SI,"CP09421 Cinemas, theatres, concerts",116.31,110.74,108.56
SI,"CP09423 Television and radio licence fees, subscriptions",133.42,127.99,124.69
SK,"CP09111 Equipment for the reception, recording and reproduction of sound",113.24,108.84,103.67
SK,CP09113 Portable sound and vision devices,97.06,101.97,100.75
SK,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",94.8,93.71,94.63
SK,CP09141 Pre-recorded recording media,,,
SK,"CP0915 Repair of audio-visual, photographic and information processing equipment",136.61,124.24,116.4
SK,CP09221 Musical instruments,115.59,107.23,102.18
SK,"CP09421 Cinemas, theatres, concerts",154.02,135.74,123.44
SK,"CP09423 Television and radio licence fees, subscriptions",82.67,106.96,102.52
