row,2023,2022,2021
"CP09111 Equipment for the reception, recording and reproduction of sound",3.3,1.1,1.4
CP09113 Portable sound and vision devices,1.2,5.8,0.8
"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",3.8,-2.4,-0.8
CP09141 Pre-recorded recording media,2.8,4.3,-3.1
"CP0915 Repair of audio-visual, photographic and information processing equipment",4.4,5,1.3
CP09221 Musical instruments,4.8,5.1,1.4
"CP09421 Cinemas, theatres, concerts",5.3,3.8,0.8
"CP09423 Television and radio licence fees, subscriptions",4.2,0.9,3
