country,row,2023,2022,2021
PL,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",76169,85643,75597
PL,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),32374,32229,32012
PL,Total (TOTAL) (thousand euro),791725,769928,861241
PT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",11523,12298,13594
PT,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),6528,5924,6078
PT,Total (TOTAL) (thousand euro),165883,178126,139883
RO,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",7927,7542,7744
RO,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),7939,8574,6682
RO,Total (TOTAL) (thousand euro),80384,82570,71691
SE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",67190,110587,85394
SE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),87469,96220,90921
SE,Total (TOTAL) (thousand euro),639665,749326,714033
SI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",13170,10957,11869
SI,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),7560,7921,7509
SI,Total (TOTAL) (thousand euro),100553,112974,98745
SK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",7097,3081,1456
SK,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),4971,5577,6405
SK,Total (TOTAL) (thousand euro),46010,38084,35149
