country,2023,2022,2021
AT,2,2,2
BE,2,2,2
BG,3,3,3
CY,,,2
CZ,1,1,1
DE,5,5,5
DK,,4,
EE,2,2,
EL,2,2,2
ES,2,2,2
FI,2,2,2
FR,,2,
HR,2,2,3
HU,2,2,2
IE,2,2,
IT,2,,
LT,1,1,1
LU,3,3,3
LV,2,2,3
MT,2,2,2
NL,1,1,1
PL,2,2,2
PT,2,2,2
RO,2,2,2
SE,2,2,1
SI,2,2,2
SK,2,2,2
